iter	Passed	Remaining
0	17	17922
1	25	12860
2	35	11652
3	43	10777
4	53	10651
5	63	10518
6	72	10346
7	85	10626
8	97	10780
9	109	10865
10	125	11302
11	143	11824
12	159	12083
13	168	11879
14	178	11753
15	191	11746
16	201	11642
17	212	11592
18	223	11520
19	235	11554
20	246	11487
21	254	11329
22	266	11310
23	278	11329
24	289	11287
25	301	11289
26	312	11255
27	323	11242
28	334	11190
29	346	11200
30	355	11124
31	367	11114
32	378	11102
33	390	11085
34	400	11049
35	410	11001
36	420	10937
37	430	10892
38	442	10892
39	453	10877
40	464	10872
41	475	10840
42	487	10849
43	499	10860
44	509	10820
45	518	10755
46	529	10737
47	540	10724
48	551	10699
49	562	10685
50	574	10682
51	583	10632
52	594	10622
53	604	10591
54	615	10572
55	626	10556
56	635	10507
57	645	10490
58	656	10468
59	664	10409
60	675	10404
61	684	10349
62	696	10360
63	708	10364
64	716	10306
65	727	10301
66	739	10292
67	750	10285
68	762	10288
69	772	10269
70	785	10273
71	796	10260
72	805	10232
73	814	10193
74	829	10236
75	841	10231
76	857	10276
77	867	10255
78	878	10246
79	890	10236
80	903	10255
81	915	10251
82	931	10292
83	951	10376
84	968	10428
85	989	10512
86	1019	10700
87	1033	10714
88	1078	11038
89	1101	11136
90	1112	11115
91	1125	11111
92	1137	11094
93	1149	11077
94	1160	11059
95	1171	11033
96	1181	10996
97	1193	10980
98	1205	10974
99	1215	10938
100	1226	10914
101	1241	10930
102	1287	11210
103	1301	11215
104	1343	11455
105	1360	11473
106	1375	11477
107	1402	11581
108	1417	11588
109	1425	11535
110	1434	11489
111	1444	11451
112	1454	11415
113	1462	11369
114	1473	11335
115	1482	11299
116	1491	11255
117	1500	11217
118	1508	11169
119	1517	11130
120	1525	11085
121	1535	11052
122	1544	11011
123	1553	10971
124	1562	10938
125	1570	10895
126	1579	10860
127	1589	10831
128	1598	10793
129	1606	10750
130	1616	10721
131	1624	10679
132	1634	10657
133	1645	10631
134	1655	10608
135	1667	10596
136	1678	10573
137	1689	10555
138	1704	10556
139	1716	10542
140	1726	10516
141	1737	10496
142	1747	10473
143	1757	10448
144	1770	10439
145	1783	10431
146	1796	10424
147	1806	10399
148	1816	10375
149	1827	10355
150	1838	10335
151	1848	10314
152	1857	10284
153	1866	10255
154	1877	10237
155	1891	10233
156	1899	10201
157	1913	10196
158	1920	10160
159	1929	10130
160	1937	10097
161	1947	10073
162	1956	10045
163	1964	10015
164	1981	10028
165	1991	10004
166	1999	9971
167	2008	9945
168	2016	9913
169	2024	9883
170	2032	9852
171	2041	9826
172	2049	9798
173	2059	9775
174	2067	9745
175	2076	9722
176	2088	9711
177	2097	9684
178	2106	9662
179	2114	9633
180	2123	9609
181	2131	9580
182	2140	9555
183	2148	9526
184	2156	9499
185	2164	9471
186	2173	9449
187	2183	9429
188	2197	9430
