iter	RMSE
0	9.101810793
1	8.939083489
2	8.790135595
3	8.654029748
4	8.529735778
5	8.41557558
6	8.30900079
7	8.206112294
8	8.112266795
9	8.04304449
10	7.9704388
11	7.894617454
12	7.824604325
13	7.776692508
14	7.719532573
15	7.665604839
16	7.620777146
17	7.576517532
18	7.514139243
19	7.4748355
20	7.437806945
21	7.410095341
22	7.37849516
23	7.35306256
24	7.316869894
25	7.289779975
26	7.265056116
27	7.243656968
28	7.208091768
29	7.191273064
30	7.170739769
31	7.153077066
32	7.129585394
33	7.113033488
34	7.093972985
35	7.070683768
36	7.049227665
37	7.031198591
38	7.008591739
39	6.997865761
40	6.98525879
41	6.972124558
42	6.960677798
43	6.947215451
44	6.933851033
45	6.907988083
46	6.8956221
47	6.882043581
48	6.871053109
49	6.852598183
50	6.835402439
51	6.822861588
52	6.812022534
53	6.800984248
54	6.791397801
55	6.782932858
56	6.770728456
57	6.754810731
58	6.747498542
59	6.734568412
60	6.724307019
61	6.715271819
62	6.705273126
63	6.693238819
64	6.684310855
65	6.67827113
66	6.665593266
67	6.649082207
68	6.635857136
69	6.625915338
70	6.615677188
71	6.607378533
72	6.600410554
73	6.587151942
74	6.576058871
75	6.566798197
76	6.557591477
77	6.55174667
78	6.543775658
79	6.535574255
80	6.529630162
81	6.520969006
82	6.516445521
83	6.503051119
84	6.493922586
85	6.486214286
86	6.478361823
87	6.472981019
88	6.466587812
89	6.458084713
90	6.451578817
91	6.443871196
92	6.437227787
93	6.433257587
94	6.428763569
95	6.424944609
96	6.420496267
97	6.415822433
98	6.409209815
99	6.397838722
100	6.392236055
101	6.386082635
102	6.380274902
103	6.374913824
104	6.367826205
105	6.360143151
106	6.356947313
107	6.349221735
108	6.342499584
109	6.335098965
110	6.330905588
111	6.318988376
112	6.313793058
113	6.30998759
114	6.302237665
115	6.296871764
116	6.290030257
117	6.286659989
118	6.279838926
119	6.274955956
120	6.270624348
121	6.264237893
122	6.259905314
123	6.25744978
124	6.250940733
125	6.245342111
126	6.238985745
127	6.233832159
128	6.228032955
129	6.224658346
130	6.21880022
131	6.211240242
132	6.207149394
133	6.202944096
134	6.195267885
135	6.188568102
136	6.181652128
137	6.175083578
138	6.168079092
139	6.162214028
140	6.150803755
141	6.143089668
142	6.136425808
143	6.130343882
144	6.126412679
145	6.118853292
146	6.113827323
147	6.107305011
148	6.103816022
149	6.09586125
150	6.090510205
151	6.086559699
152	6.078087999
153	6.069302662
154	6.064864343
155	6.058829607
156	6.052165788
157	6.044148759
158	6.038848182
159	6.032922227
160	6.027431329
161	6.020408359
162	6.014825923
163	6.009527643
164	6.004015897
165	5.999506267
166	5.993610839
167	5.988943141
168	5.982833726
169	5.978543031
170	5.97147586
171	5.966378196
